COR,RGB,Active,COD,Level,Parent,Ref,Legend
#129912,"18,153,18",1,1,1,0,1.,1. Formación leñosa
#1F4423,"31,68,35",1,2,2,1,1.1,1.1. Leñosas Forestal Natural
#935132,"147,81,50",1,9,2,1,1.2,1.2. Cultivo de Leñosas
#FF9966,"255,153,102",1,10,1,0,2.,2. Formación natural no leñosa
#B8AF4F,"184,175,79",1,12,2,10,2.1,2.1. Herbáceas
#F1C232,"241,194,50",1,13,1,0,3,3. Vegetación dispersa
#FFFFB2,"255,255,178",1,14,1,0,4,4. Uso Agropecuario
#FFD966,"255,217,102",1,15,2,14,4.1.,4.1. Pastura
#E974ED,"233,116,237",1,18,2,14,4.2.,4.2. Agricultura
#EA9999,"234,153,153",1,22,1,0,5.,5. Área no vegetada
#0022F6,"0,34,246",1,26,1,0,6.,6. Cuerpos de Agua
#D5D5E5,"213,213,229",1,27,1,0,7.,7. No Observado
